sample_key,metal,site,analyst,conc_dil_error,conc_blanked,conc_blanked_error,conc_unblanked,conc_unblanked_error
51,Cd114,C,LG,29.454613311592357,537.7978993139897,88140.5536588147,563.0207775635226,89021.95692724445
51,Cr52,C,LG,13.198459759554815,10960.466664463065,39496.445845693495,12687.310527878686,39891.276940190415
51,Cr53,C,LG,3.687238160410478,11309.19790359634,11038.27943003412,13062.934031602577,11147.89100684824
51,Pb208,C,LG,24.093330994388587,224335.44632338895,72303.79228321929,227953.78915238523,72994.81372936619
52,As75,B,MF,13.055763199108315,1700.2519149438733,16117.540451844285,1776.4417060663304,16278.591261356834
52,Cd111,B,MF,50.80017829700578,82.1330885963632,62711.9688166797,89.32384764417218,63339.08814727377
52,Cd114,B,MF,2.6522131201350954,176.14004216777462,3274.1378193156274,186.08819507604835,3306.8699175191596
52,Cr52,B,MF,2.5871210788042043,9049.47186386424,3233.8696403290096,9807.137367525644,3271.4066449654842
52,Cr53,B,MF,10.854822033630668,9224.872827119534,13410.127823717936,9993.947745973404,13545.485924439872
52,Pb208,B,MF,8.470731917285955,217121.14553293935,15992.108770120907,219859.5903753982,16149.580427153991
53,As75,QC,MF,15.23172480525009,7968.353356168855,21057.410270384436,8114.309164583413,21267.898051409466
53,Cd111,QC,MF,24.44758921777501,1235.807495770492,33792.89522865148,1255.2974502645582,34130.823827527995
53,Cd114,QC,MF,2.32070426915495,1279.991796173264,3208.3508288023536,1301.95846051235,3240.428271714612
53,Cr52,QC,MF,2.1888177887037354,33074.79794638164,3379.5906168534734,34152.58028247181,3427.7135633907064
53,Cr53,QC,MF,21.27574514990632,33839.99823223207,29448.902067390736,34936.243775511546,29745.078439392128
53,Pb208,QC,MF,10.846169760883756,563034.0295767699,29685.370518004947,569299.5038411163,29989.40658768866
54,As75,A,LAK,137.085490829026,2488.758376200272,359922.55699998845,2639.5270980782475,363521.75391835836
54,Cd111,A,LAK,91.67844672658808,91.41193973028979,240704.8162823192,105.87273630045736,243111.86399567887
54,Cd114,A,LAK,10.443087389980873,150.34891933610962,27418.679782055224,169.26422168004586,27692.86087902709
54,Cr52,A,LAK,3.491303525651471,16774.757198821007,9177.363449234359,18361.462173925855,9269.597786568875
54,Cr53,A,LAK,22.794643204473992,17026.772178588308,59849.84610525487,18636.53268889273,60448.37565749316
54,Pb208,A,LAK,4.6134959522201315,165125.4968363166,12944.6499234734,167983.15956717607,12936.294264753295
56,As75,A,AVM,11.423793398052307,4396.498073556993,34922.04452606047,4587.02656574338,35270.865374315385
56,Cd111,A,AVM,166.68808494065217,139.39054239854823,509550.5688948889,156.55685506845876,514646.0742958709
56,Cd114,A,AVM,11.748473370083977,407.79819530808703,35914.03937361842,432.1487654683283,36273.1739090097
56,Cr52,A,AVM,8.822975883710436,18959.82933539917,26974.63686213411,20801.52088682576,27244.365079917094
56,Cr53,A,AVM,25.643944487681807,19612.38101163719,78392.601035216,21484.50744574504,79176.48107650038
56,Pb208,A,AVM,48.3960329193317,858866.1249442399,149087.2521986437,868859.407732376,150564.52887748636
57,As75,QC,AVM,148.50928184236918,15086.307801759154,440622.40920688125,15379.42208513024,445028.60525231384
57,Cd111,QC,AVM,66.6752349621886,2347.3556470473477,197823.28004729975,2386.137542679796,199801.5122342687
57,Cd114,QC,AVM,10.443090765440836,2520.170678849451,30984.370813108286,2565.048497922355,31294.20880324298
57,Cr52,QC,AVM,14.932475647730953,62543.727113068875,44326.35439378959,64772.64846417861,44770.42691763846
57,Cr53,QC,AVM,68.38378530132958,64061.767347255554,202897.58298070598,66329.07498658921,204926.72740538142
57,Pb208,QC,AVM,40.339666024993605,1021620.2481239904,121846.45041482183,1033199.7442720289,123050.66984329889
58,As75,B,SS,51.78785255226837,2875.0714543151407,143265.32700012653,3036.456523176892,144697.9003111278
58,Cd111,B,SS,113.34789776586007,119.43012381763806,313564.12556884787,134.89784843660794,316699.7664417449
58,Cd114,B,SS,5.105509469929076,216.45901286252695,14123.827089513528,236.9695174729153,14265.053100331343
58,Cr52,B,SS,2.5356648863574534,21799.58441273535,7035.172919665532,23512.66126569965,7106.39904943757
58,Cr53,B,SS,27.353552525932834,22320.480454341363,75672.53838927991,24060.403326491847,76429.31306384993
58,Pb208,B,SS,7.530591069137886,190087.84494801788,21406.21466788722,193259.8519956223,21527.8456742787
59,As75,QC,SS,36.55613228267713,15193.32207110674,100437.41348480202,15476.982412047659,101441.68394649442
59,Cd111,QC,SS,53.34018870876272,2423.7664721462684,146550.27989370265,2462.179928407055,148015.78200671353
59,Cd114,QC,SS,4.177244998223959,2537.7840616723806,11477.00030008659,2581.3823286264674,11591.757436753922
59,Cr52,QC,SS,4.351283453749527,62806.71931870107,12045.969605120728,64919.64099635564,12169.687776882152
59,Cr53,QC,SS,27.35404257201874,64282.34205824679,75169.50597286988,66431.50902212078,75921.70831079189
59,Pb208,QC,SS,22.618366104517015,1033521.5688252059,66712.06756846185,1045119.2184472074,67358.71428599424
6,As75,C,MRMJ,92.22757196256656,3818.6346904265533,276516.86795278033,4000.5697235588455,279281.9880529969
6,Cd111,C,MRMJ,113.74223051584863,153.05869817612125,341022.0787303309,170.0587754683407,344432.29910436337
6,Cd114,C,MRMJ,13.593236382885733,225.5219890483544,40755.26131086709,247.66045199418073,41162.808923999
6,Cr52,C,MRMJ,2.391788442159677,30140.354457934245,7204.391169556342,32062.12198685912,7277.835091359379
6,Cr53,C,MRMJ,18.216330215921857,30903.35528071074,54620.88493074169,32856.20299250346,55167.229051168295
6,Pb208,C,MRMJ,16.218847174965774,267036.4518709411,49039.190994738026,271084.4614722233,49482.77130611888
8,As75,E,ARG,21.663092531978105,2864.5428872819507,70230.07674110166,3048.621689946903,70932.15188088403
8,Cd111,E,ARG,155.51087187102814,106.91712348143187,504152.47349128936,124.71323068270809,509193.99789804016
8,Cd114,E,ARG,4.522054490306898,117.39623174477003,14660.116605995674,140.0696569868281,14806.701411018357
8,Cr52,E,ARG,2.411803359058854,13112.985715990777,7825.446890717442,14996.191696187863,7902.75486661868
8,Cr53,E,ARG,3.9337857967984218,13390.043086319634,12757.47921608406,15301.375974639226,12884.162741521417
8,Pb208,E,ARG,7.954828888516014,116285.94203450072,26004.385044911854,118938.42914252248,26155.517880436655
